Province,City,Location,Starts/Single,Starts/Semi,Starts/Row,Starts/Apt,Starts/Total,Starts/Single,Starts/Semi,Starts/Row,Starts/Apt,Starts/Total,Completions/Single,Completions/Semi,Completions/Row,Completions/Apt,Completions/Total,Completions/Single,Completions/Semi,Completions/Row,Completions/Apt,Completions/Total,Under Construction/Single,Under Construction/Semi,Under Construction/Row,Under Construction/Apt,Under Construction/Total
,,,August,August,August,August,August,January to August,January to August,January to August,January to August,January to August,August,August,August,August,August,January to August,January to August,January to August,January to August,January to August,August,August,August,August,August
PEI,Charlottetown CA,Brackley RM,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
PEI,Charlottetown CA,Charlottetown CY,11,18,4,1,34,54,78,17,174,323,2,8,4,0,14,39,74,19,174,306,41,54,7,220,322
PEI,Charlottetown CA,Clyde River RM,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
PEI,Charlottetown CA,Cornwall T,0,0,0,0,0,7,18,6,74,105,2,0,0,0,2,4,12,4,0,20,6,22,6,74,108
PEI,Charlottetown CA,Crossroads FD,1,0,0,0,1,4,0,0,2,6,0,0,0,0,0,6,0,0,0,6,6,0,0,2,8
PEI,Charlottetown CA,"East River, Part 1 FD",0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,9,3,0,0,0,3
PEI,Charlottetown CA,"East River, Part 2 FD",0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0
PEI,Charlottetown CA,Hunter River RM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEI,Charlottetown CA,Johnstons River FD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
PEI,Charlottetown CA,Kingston RM,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
PEI,Charlottetown CA,Miltonvale Park RM,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
PEI,Charlottetown CA,Mount Stewart RM,0,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,0,0,0,0,1,0,8,0,9
PEI,Charlottetown CA,New Glasgow FD,1,0,0,0,1,17,2,0,0,19,2,0,0,0,2,11,2,0,0,13,10,0,0,0,10
PEI,Charlottetown CA,North Shore FD,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4,1,0,0,0,1
